Address,Price,Sale Date,Rent,Rent date,Type,Bedrooms,Bathrooms,Parking,Agent,State,Suburb,Postcode
510/8 Crescent Street,"$607,000",Nov 2014,$400pw,Jun 2009,Apartment,1,1,1,Ray White Unlimited - NORTH BONDI,NSW,Moore Park,1363
773 South Dowling Street,"$1,500,000",Jun 2014,$280pw,May 2015,,,,,Maria Con Real Estate,NSW,Moore Park,1363
6/53 Moore Park Road,"$145,000",Dec 2012,,,Apartment,2,1,,BresicWhitney Estate Agents,NSW,Moore Park,1363
7/69 Moore Park,"$945,000",Mar 2012,,,Townhouse,4,2,3,Shields Gillman Real Estate,NSW,Moore Park,1363
14/69 Moore Park,"$945,000",Mar 2012,,,Unit,,,,,NSW,Moore Park,1363
13/69 Moore Park,"$945,000",Mar 2012,,,Unit,,,,,NSW,Moore Park,1363
13/69 Moore Park Road,"$945,000",Mar 2012,,,Unit,2,,,,NSW,Moore Park,1363
14/69 Moore Park Road,"$945,000",Mar 2012,,,Unit,2,,,,NSW,Moore Park,1363
7/69 Moore Park Road,"$945,000",Mar 2012,,,Townhouse,2,2,3,Shields Gillman Real Estate,NSW,Moore Park,1363
7 Kindt Street,"$210,000",Sep 2011,,,,,,,,NSW,Moore Park,1363
14 Royal Boulevard,"$398,000",Jul 2011,,,,,,,,NSW,Moore Park,1363
6/53 Moore Park,"$432,500",Mar 2011,,,Apartment,2,1,,BresicWhitney Estate Agents,NSW,Moore Park,1363
1139/7 Crescent Street,"$600,000",09 Feb 2011(Auction),,,Apartment,2,2,1,Ray White Unlimited - NORTH BONDI,NSW,Moore Park,1363
1/65 Moore Park,"$1,100,000",Jul 2010,,,Unit,,,,,NSW,Moore Park,1363
7/53 Moore Park Road,"$353,500",Jun 2010,,,Unit,,,,,NSW,Moore Park,1363
4/53 Moore Park Road,"$180,000",Dec 2009,,,Apartment,2,1,,Ray White Paddington,NSW,Moore Park,1363
413/11A Lachlan Street,"$463,000",Dec 2009,,,Apartment,2,2,1,CPS Property - Surry Hills,NSW,Moore Park,1363
26/28 Crystal Street,"$545,000",Nov 2009,,,Apartment,2,2,1,,NSW,Moore Park,1363
612/5 Potter Street,"$515,000",Sep 2008,,,Apartment,2,2,1,Landmark Realty Group Pty Ltd,NSW,Moore Park,1363
2/69 Moore Park,"$975,000",Aug 2008,,,Townhouse,4,2,2,,NSW,Moore Park,1363
17/69 Moore Park,"$975,000",Aug 2008,,,Unit,,,,,NSW,Moore Park,1363
8/69 Moore Park Road,"$620,000",May 2008,$840pw,Feb 2015,Apartment,2,1,2,,NSW,Moore Park,1363
16/69 Moore Park Road,"$620,000",May 2008,,,Unit,,,,,NSW,Moore Park,1363
6/69 Moore Park,"$995,000",Jun 2007,,,Townhouse,4,2,1,,NSW,Moore Park,1363
6/69 Moore Park Road,"$995,000",Jun 2007,,,Townhouse,4,2,1,Ray White Bondi Junction..Clovelly/Coogee,NSW,Moore Park,1363
9/69 Moore Park Road,"$594,000",Jun 2007,,,,,,,,NSW,Moore Park,1363
18/69 Moore Park Road,"$594,000",Jun 2007,,,Unit,,,,,NSW,Moore Park,1363
1/53 Moore Park,"$365,000",Jan 2007,,,Unit,2,1,,,NSW,Moore Park,1363
1/53 Moore Park Road,"$365,000",Jan 2007,,,Apartment,2,1,,Position Realty,NSW,Moore Park,1363
5/65 Moore Park,"$810,000",Sep 2006,,,Unit,,,,,NSW,Moore Park,1363
3/69 Moore Park Road,"$815,000",Apr 2006,,,Townhouse,4,2,1,LJ Levi,NSW,Moore Park,1363
1/41 Moore Park,"$350,000",Oct 2002,,,Unit,,,,,NSW,Moore Park,1363
4/65 Moore Park,"$592,000",Jul 2002,,,Unit,,,,,NSW,Moore Park,1363
5/69 Moore Park Road,"$612,500",Jul 2001,,,House,3,2,1,Raine & Horne Kensington,NSW,Moore Park,1363
69 Moore Park Road,"$460,000",Jan 2000,,,Townhouse,4,2,1,Sydney Boutique Property,NSW,Moore Park,1363
41 Moore Park Road,"$510,000",Mar 1999,,,House,,,,,NSW,Moore Park,1363
65-67 Moore Park Road,"$390,000",Jan 1999,,,,,,,,NSW,Moore Park,1363
